# Batch Simulation Results
# Date: 2025-12-14 21:24:16
# Parameter varied: message.truth_revelation_prob
# Values: [0.0, 0.1, 0.2, 0.5, 0.8, 1.0]
# Runs per value: 50
# Total simulations: 300
# Comment: Fact-checking comparison: varying truth_revelation_prob
#
avg_reach,std_reach,avg_forwarding_rate,std_forwarding_rate,avg_misinformation,std_misinformation,avg_false_forward_count,std_false_forward_count,avg_false_reach_count,std_false_reach_count,avg_false_reach,std_false_reach,avg_reputation,std_reputation,final_reputation,num_agents,num_influencers,num_bots,num_regular,run_id,param_name,param_value,seed
0.5424,0.06853787274201031,0.34402934736504787,0.14445362421257113,0.13751532475023556,0.20030827603854626,7.632,11.321156124707406,20.288,26.923095215817966,0.20288,0.2692309521581796,0.16205504445300295,2.7755575615628914e-17,0.16205504445300292,100,8,10,82,0,message.truth_revelation_prob,0.0,42
0.61336,0.11603064422815207,0.3165844504277003,0.15270178579820393,0.13569013453859333,0.18391500830667235,8.468,12.390681014375279,25.72,30.91578237729073,0.2572,0.30915782377290724,0.08820572978211176,1.3877787807814457e-17,0.08820572978211177,100,8,10,82,1,message.truth_revelation_prob,0.0,43
0.5623599999999999,0.33491914009205265,0.3049839075265927,0.1768635891415502,0.14199038245282247,0.19454330812326906,9.044,15.577485804840268,25.476,35.91981937593785,0.25476,0.3591981937593785,0.015031541837950826,1.734723475976807e-18,0.015031541837950824,100,8,10,82,2,message.truth_revelation_prob,0.0,44
0.5222,0.28433283313750457,0.2943830824959772,0.09836898805699466,0.1202795381315143,0.1593619022291781,6.576,10.6235692683768,21.08,31.520812172277545,0.21080000000000002,0.31520812172277546,0.007761810113216291,0.0,0.007761810113216291,100,8,10,82,3,message.truth_revelation_prob,0.0,45
0.5515999999999999,0.21107306791724992,0.2826432283674144,0.16193214244589352,0.13034335697808375,0.17628206234103247,8.484,13.114943537812124,25.372,30.740878582109524,0.25372,0.3074087858210952,0.042700991711812734,1.3877787807814457e-17,0.04270099171181272,100,8,10,82,4,message.truth_revelation_prob,0.0,46
0.6028,0.18310696327556744,0.35127876508005285,0.10242882451106682,0.14288652409899144,0.18451332158125794,9.128,13.455393565407146,24.628,31.718032978102535,0.24628000000000003,0.31718032978102534,0.21448089590032776,5.551115123125783e-17,0.21448089590032782,100,8,10,82,5,message.truth_revelation_prob,0.0,47
0.48732,0.24794277081617042,0.3617573640838842,0.1725251366426434,0.13898277881060545,0.2062504480931428,8.328,14.868907693573188,19.628,29.3477361307478,0.19628,0.29347736130747804,-0.006895076221461002,1.734723475976807e-18,-0.0068950762214610006,100,8,10,82,6,message.truth_revelation_prob,0.0,48
0.5581200000000002,0.17725254751342787,0.2907667176119313,0.11321204272484528,0.10065412783840165,0.14545890723306296,5.892,9.971977537078592,19.748,27.506444626668856,0.19748000000000002,0.2750644462666886,-0.06146397353293516,1.3877787807814457e-17,-0.061463973532935146,100,8,10,82,7,message.truth_revelation_prob,0.0,49
0.53988,0.15554930279496593,0.2964636204158586,0.14500336820985296,0.1120376542906445,0.16750463237149776,6.572,10.636391117291616,20.528,27.52106858390495,0.20528,0.2752106858390495,-0.056583557452756665,2.0816681711721685e-17,-0.056583557452756644,100,8,10,82,8,message.truth_revelation_prob,0.0,50
0.6136400000000001,0.1904960640013331,0.31385248014033157,0.1265331076911759,0.12791745713889785,0.1780324127784248,8.868,13.669329756794953,24.812,32.95986432010909,0.24812,0.3295986432010909,0.1542153128209259,2.7755575615628914e-17,0.15421531282092593,100,8,10,82,9,message.truth_revelation_prob,0.0,51
