# Batch Simulation Results
# Date: 2025-12-15 12:29:14
# Parameter varied: num_bots
# Values: [8.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0]
# Runs per value: 30
# Total simulations: 330
# Comment: Telegram-like: vary number of bots (start at 8)
#
avg_reach,std_reach,avg_forwarding_rate,std_forwarding_rate,avg_misinformation,std_misinformation,avg_false_forward_count,std_false_forward_count,avg_false_reach_count,std_false_reach_count,avg_false_reach,std_false_reach,avg_reputation,std_reputation,final_reputation,num_agents,num_influencers,num_bots,num_regular,run_id,param_name,param_value,seed
0.5211600000000001,0.14232868438933874,0.35387681152166517,0.13377963551556163,0.14445943685362847,0.19374998792644355,8.004,11.518853415162468,21.36,27.288796235818097,0.21359999999999998,0.27288796235818097,0.7978062724246895,0.3397082555135843,1.1140107852576202,100,8,8,84,0,num_bots,8.0,42
0.5261999999999999,0.14905421832340068,0.3939105625783849,0.1818291671144665,0.1694751911873125,0.2276764511924053,9.52,13.526921305308168,22.876,28.24685157676869,0.22876,0.2824685157676869,1.096489784699466,0.573613686561533,2.1651508022412433,100,8,8,84,1,num_bots,8.0,43
0.51352,0.3362338614714467,0.31487021817817523,0.21225207865435428,0.1447674082646756,0.21410378024192164,9.444,17.228547936491918,23.508,34.27503371260195,0.23507999999999998,0.3427503371260195,0.06961341613214139,0.15937677091054875,0.6092176423600153,100,8,8,84,2,num_bots,8.0,44
0.54592,0.2261100475432262,0.3427503166489384,0.12521073054776208,0.13831563134148275,0.18615242617200115,7.68,11.523610545310875,22.184,30.6298897157662,0.22184,0.306298897157662,0.7563619357160983,0.3674277791385067,1.446690072511958,100,8,8,84,3,num_bots,8.0,45
0.49012,0.2164966179874411,0.3234658294902994,0.19966064280307072,0.1494787881408703,0.2097658269597628,8.828,14.616922247860524,22.14,28.17105606824139,0.22139999999999999,0.2817105606824139,0.8095137248092529,0.4947624957494907,1.340098646226097,100,8,8,84,4,num_bots,8.0,46
0.53804,0.25043114502792974,0.3296002207136389,0.14456196276991196,0.13595071892063745,0.19005133978812028,8.708,14.475038376460354,22.256,31.589214361867246,0.22256,0.31589214361867246,0.7602263764538227,0.19486955369491957,0.7335320513933666,100,8,8,84,5,num_bots,8.0,47
0.48564,0.22052072555657892,0.4030924150213459,0.1357843083404334,0.15401082696266363,0.21541499506020503,8.52,14.273668063956091,19.444,28.234001912587594,0.19444000000000003,0.282340019125876,0.2634601885149448,0.4857736812676941,1.094982588322778,100,8,8,84,6,num_bots,8.0,48
0.52064,0.23830650515669943,0.3463746956569274,0.1296545936799262,0.13032646768001205,0.18861115914792903,7.676,12.908099162928675,19.576,29.266845132333618,0.19576,0.2926684513233362,0.9503262523027302,0.4489735487100045,1.7781715147271897,100,8,8,84,7,num_bots,8.0,49
0.48356,0.10134557908463498,0.3844214037400717,0.13183334245864192,0.14790586510529719,0.20254618309779854,7.12,10.398538358827167,18.288,23.62974938504427,0.18288,0.23629749385044269,0.5393659615141981,0.21983243980917236,0.7431391510580425,100,8,8,84,8,num_bots,8.0,50
0.5024,0.13193271012148577,0.3045662671312485,0.15773845450287075,0.12244032292047763,0.1812168324838019,6.82,11.50841431301463,19.848,25.76479955287834,0.19848000000000002,0.25764799552878337,0.4318446129797615,0.10170200616729726,0.6444527345758732,100,8,8,84,9,num_bots,8.0,51
0.5485999999999999,0.26142081018924257,0.37365906089844486,0.14885842618240064,0.14400766070947885,0.20265681129974292,8.436,13.589624866051308,21.124,31.1325653295709,0.21124,0.311325653295709,0.8626410800404741,0.6538976528312888,1.8049811780450022,100,8,8,84,10,num_bots,8.0,52
0.55672,0.18786495575279602,0.3659203666082129,0.14316315348488576,0.1714097112749218,0.20994525216736626,10.472,15.157348580803967,25.656,30.54389732827165,0.25656,0.30543897328271646,0.3971548156444501,0.2377007399696989,0.6475689616244292,100,8,8,84,11,num_bots,8.0,53
0.5516400000000001,0.1930743649478097,0.35836169995662753,0.13537028254987654,0.1555634620514412,0.19498062335334035,8.372,11.140270014680974,24.728,30.32922709203121,0.24728,0.30329227092031213,0.3147209039976532,0.09857925692078265,0.23422110168488242,100,8,8,84,12,num_bots,8.0,54
0.54284,0.2710681360839005,0.3166731990003769,0.19652004082740718,0.1336195400924705,0.1955938783529878,8.8,16.169601108252486,23.908,32.55671261045869,0.23908,0.32556712610458693,0.6352513437704579,0.6525447809111173,1.0374879996404978,100,8,8,84,13,num_bots,8.0,55
0.45676,0.17418238257642477,0.38973768346697524,0.15771896173915634,0.1761904297299791,0.22283158267995287,7.784,10.831867059745518,19.948,25.050215488095105,0.19948000000000002,0.25050215488095107,0.48265249147452494,0.31245010250607896,0.7798242181236538,100,8,8,84,14,num_bots,8.0,56
