# Batch Simulation Results
# Date: 2025-11-30 23:36:58
# Parameter varied: num_bots
# Values: [0.0, 5.0, 10.0, 25.0, 50.0, 100.0]
# Runs per value: 250
# Total simulations: 1500
#
avg_reach,std_reach,avg_forwarding_rate,std_forwarding_rate,avg_misinformation,std_misinformation,avg_reputation,std_reputation,final_reputation,num_agents,num_influencers,num_bots,num_regular,run_id,param_name,param_value,seed
0.1522,0.0959435250551073,0.09130594287036643,0.1732653046393686,0.03583352260401429,0.1195779875678873,-0.020052294466621403,0.19091630353812944,-0.2021538203989992,100,0,0,100,0,num_bots,0.0,random
0.27288,0.17747705654534615,0.14987283423083148,0.14536619983871046,0.0552614843341998,0.11226005802472462,0.26528411536674956,0.13820551129107062,0.08749597927268553,100,0,0,100,1,num_bots,0.0,random
0.1792,0.1039969230314051,0.08265457483363889,0.1360433496832778,0.033760899788876884,0.102512151403874,-0.10798169529654622,0.10301953056449274,-0.11109953826662698,100,0,0,100,2,num_bots,0.0,random
0.15952000000000005,0.07777769346027175,0.1318948263315129,0.16779715013590396,0.051306395182338704,0.11988488669725277,-0.02862336573879878,0.09546170058842285,-0.1460475753731013,100,0,0,100,3,num_bots,0.0,random
0.134,0.08532760397432944,0.049519123850707225,0.1169522255094464,0.021752026036240987,0.0836391254148404,-0.17203726726639582,0.13439622283714228,-0.2722622573990888,100,0,0,100,4,num_bots,0.0,random
0.2834,0.2494779348960545,0.13070070250248886,0.17991681448993144,0.04635126332589372,0.12540296838508969,0.39834898285848397,0.2504758623370992,0.41192006723138097,100,0,0,100,5,num_bots,0.0,random
0.24256000000000003,0.24217482610709148,0.10037098422684046,0.1733681870349341,0.033238908566081346,0.10652506826249222,0.5067269246182714,0.36778320180331,0.6095143632696994,100,0,0,100,6,num_bots,0.0,random
0.10028000000000001,0.004418325474656659,0.0007058823529411765,0.011138635650394942,0.0007058823529411765,0.011138635650394942,0.04131566630522201,0.002794351445326804,0.04077566630522201,100,0,0,100,7,num_bots,0.0,random
0.1572,0.10108293624544153,0.07713529770721338,0.13204848211674938,0.033838830820193774,0.10029299497547493,-0.14943411618924926,0.05598240962226854,-0.2530918839399796,100,0,0,100,8,num_bots,0.0,random
0.13660000000000003,0.05775846258341716,0.06519557775557776,0.11780952241668904,0.029923223443223443,0.08828757314053892,-0.21836745756440745,0.08620574468307332,-0.30483152704309263,100,0,0,100,9,num_bots,0.0,random
0.15852000000000005,0.06703886633886345,0.13093440267335005,0.15484919518236226,0.05131142857142857,0.11930031749200953,0.018068670593040983,0.1091195156195787,-0.0319655010767234,100,0,0,100,10,num_bots,0.0,random
0.11196,0.043143463004260564,0.01596263273160207,0.05855385982712541,0.011036373500636958,0.05155789020498822,0.032932918387154134,0.03170558490125826,0.009129796113954898,100,0,0,100,11,num_bots,0.0,random
0.16372000000000003,0.1263366993395031,0.08638591548027734,0.13758617541843376,0.031324914618953405,0.09463470626617954,0.05437842971778885,0.10470648041219613,0.10968046636842915,100,0,0,100,12,num_bots,0.0,random
0.10676000000000001,0.034413694948377746,0.007782394487510767,0.04162987505796896,0.005268108773225053,0.0350472277198447,0.016697314981849815,0.01814320258942154,0.00806664496182228,100,0,0,100,13,num_bots,0.0,random
0.16348000000000001,0.09366050181373148,0.1053838948606601,0.14681927217777208,0.04156593598720399,0.10604672366498138,0.0741253070659103,0.08116941910937796,-0.048749913186495596,100,0,0,100,14,num_bots,0.0,random
0.11768000000000003,0.04956024213015913,0.020532645171033755,0.07190888250970519,0.011095978504367087,0.05444082461505339,-0.05457410857824773,0.049137871795029875,-0.08031028151660612,100,0,0,100,15,num_bots,0.0,random
0.10464000000000001,0.016806855744011133,0.010527777777777778,0.04230628510350748,0.006333333333333334,0.03466680021341799,-0.042749404984032784,0.020371045322011578,-0.05796074811913979,100,0,0,100,16,num_bots,0.0,random
0.11504000000000002,0.04349021039268493,0.029976810257459657,0.08888722259035632,0.013914487963310736,0.06321965943487749,0.02294441736229791,0.04046576911368061,-0.004109581444488894,100,0,0,100,17,num_bots,0.0,random
0.13764000000000004,0.0650940120133949,0.07211676476673273,0.12802050918848543,0.025873296023573595,0.08401287513101667,-0.10116833944341341,0.06835812592316969,0.024758037671847366,100,0,0,100,18,num_bots,0.0,random
0.11572000000000003,0.07673644245076781,0.015615666266506605,0.0700310882125999,0.009337823129251702,0.05722078302580568,-0.27643272200463503,0.06397914499896692,-0.2950368577563717,100,0,0,100,19,num_bots,0.0,random
0.1486,0.07411369643999684,0.08157485351696143,0.12912653594761378,0.03440128365207312,0.09109532257861899,0.09343952905524781,0.08720062957670388,-0.004466067021451337,100,0,0,100,20,num_bots,0.0,random
0.13128000000000004,0.06650083909245057,0.049465237483953796,0.11014220665836887,0.01831474967907574,0.06810083227051447,-0.1939209561374734,0.09904133117650107,0.033142793226719335,100,0,0,100,21,num_bots,0.0,random
0.20176,0.229142973708556,0.09303065200834523,0.18793140190871735,0.03678165117179606,0.12632055611784226,0.3914613094968764,0.41367145899576446,0.1193450554796062,100,0,0,100,22,num_bots,0.0,random
0.11976000000000002,0.04445157365043447,0.03382930365128507,0.07995445344014152,0.01552513637033761,0.056270954693967194,0.0031806734101983095,0.04239863604934269,-0.019009756607929217,100,0,0,100,23,num_bots,0.0,random
0.15760000000000002,0.10036254281354175,0.07424420485175201,0.1355604780433797,0.028639010046557216,0.09313494443379831,-0.10071560167702674,0.08900753238314298,-0.028342007189910364,100,0,0,100,24,num_bots,0.0,random
0.11848,0.04551142274198863,0.029116910279263216,0.07262009136022506,0.01622707070707071,0.05613671529363629,-0.1398611030668788,0.03997387519504794,-0.16508743642507082,100,0,0,100,25,num_bots,0.0,random
0.12340000000000001,0.061351772590529124,0.024425598309499235,0.07307052975184826,0.01375033171163202,0.05922577678054072,-0.182074034345482,0.047224233773893814,-0.1853791602280981,100,0,0,100,26,num_bots,0.0,random
