# Batch Simulation Results
# Date: 2025-11-30 16:08:55
# Parameter varied: message.truth_revelation_prob
# Values: [0.0, 0.1, 0.2, 0.35, 0.5, 1.0]
# Runs per value: 40
# Total simulations: 240
#
avg_reach,std_reach,avg_forwarding_rate,std_forwarding_rate,avg_misinformation,std_misinformation,avg_reputation,std_reputation,final_reputation,num_agents,num_influencers,num_bots,num_regular,run_id,param_name,param_value,seed
0.13299999999999998,0.06425729530566938,0.05089189123925432,0.10213872745298799,0.03946331981068289,0.09055188847668852,-0.026749403748801182,3.469446951953614e-18,-0.02674940374880118,100,0,0,100,0,message.truth_revelation_prob,0.0,random
0.36959999999999993,0.1675704031146312,0.17920750070244684,0.08272593606973294,0.1429460627939501,0.1053792013150808,-0.04193962483025625,6.938893903907228e-18,-0.041939624830256254,100,0,0,100,1,message.truth_revelation_prob,0.0,random
0.1536,0.061343622325389306,0.09869263739057789,0.12138562808347415,0.07378111946532999,0.11138969712330761,-0.005013261954371544,0.0,-0.005013261954371544,100,0,0,100,2,message.truth_revelation_prob,0.0,random
0.15139999999999998,0.050319379964383494,0.07773809523809523,0.07287386985078724,0.06577380952380951,0.07208097396948811,-0.0009022040320962589,1.0842021724855044e-19,-0.0009022040320962588,100,0,0,100,3,message.truth_revelation_prob,0.0,random
0.29059999999999997,0.2549855682190661,0.10549524907071799,0.12919650052548962,0.07772065291646682,0.11809806428821942,0.08691644802620965,1.3877787807814457e-17,0.08691644802620967,100,0,0,100,4,message.truth_revelation_prob,0.0,random
0.1498,0.05846332183514719,0.11159089010404799,0.12281237465953573,0.09417205893521682,0.11924197278064602,0.08000947235799352,0.0,0.08000947235799352,100,0,0,100,5,message.truth_revelation_prob,0.0,random
0.21960000000000002,0.09911528640931226,0.13437142857142859,0.12216229085164723,0.10654285714285715,0.120166241991192,-0.1831529588404845,0.0,-0.1831529588404845,100,0,0,100,6,message.truth_revelation_prob,0.0,random
0.21720000000000003,0.08588457370214979,0.1587561511261214,0.11462485764579464,0.11545775540419627,0.12745526204928356,-0.07349451818360019,0.0,-0.07349451818360019,100,0,0,100,7,message.truth_revelation_prob,0.0,random
0.1594,0.08814556143107831,0.1418621848739496,0.20605170284876373,0.12426218487394959,0.19848701003954453,0.2757728418136214,0.0,0.2757728418136214,100,0,0,100,8,message.truth_revelation_prob,0.0,random
0.2802,0.23507011719910298,0.16693632283262186,0.1566854181171329,0.13064617438457868,0.15436391244803457,0.03556211167357958,0.0,0.03556211167357958,100,0,0,100,9,message.truth_revelation_prob,0.0,random
0.169,0.10737318100903968,0.14900465116279069,0.2103182941045452,0.12189767441860465,0.19807855465161245,-0.07176014089717554,0.0,-0.07176014089717554,100,0,0,100,10,message.truth_revelation_prob,0.0,random
0.1602,0.07371539866269461,0.07428070175438596,0.09368240355705298,0.07007017543859649,0.09455671635032588,-0.037969458387468444,0.0,-0.037969458387468444,100,0,0,100,11,message.truth_revelation_prob,0.0,random
0.10579999999999998,0.019706851600395228,0.008169934640522876,0.028730304384411456,0.004705882352941176,0.02305402110854756,-0.24047802447023942,2.7755575615628914e-17,-0.24047802447023944,100,0,0,100,12,message.truth_revelation_prob,0.0,random
0.225,0.11085576214162257,0.12822633363766794,0.12371155864685886,0.09130815181948612,0.12224311127876826,-0.048747053848036105,1.3877787807814457e-17,-0.04874705384803612,100,0,0,100,13,message.truth_revelation_prob,0.0,random
0.1906,0.13867097749709564,0.10914271878748387,0.10789175279403868,0.08983845069963443,0.1061826496297794,0.03985538829690394,0.0,0.03985538829690394,100,0,0,100,14,message.truth_revelation_prob,0.0,random
0.13439999999999996,0.06888134725743972,0.05974177448627129,0.11902699178347428,0.0433374363327674,0.10250221347381712,0.21832146711280134,0.0,0.21832146711280134,100,0,0,100,15,message.truth_revelation_prob,0.0,random
0.2214,0.14849929292760955,0.09156909138333287,0.10898148280423461,0.07216849198273347,0.10400922904799825,0.06403944723024994,0.0,0.06403944723024994,100,0,0,100,16,message.truth_revelation_prob,0.0,random
0.1618,0.07154550999189258,0.0881843825249398,0.10119502439706582,0.06373993808049536,0.09401321320183997,0.05572890823830253,0.0,0.05572890823830253,100,0,0,100,17,message.truth_revelation_prob,0.0,random
0.22039999999999998,0.1448994133873564,0.11609433949843158,0.12006735961363887,0.0933337217378138,0.11776398611941999,0.07078576448332646,0.0,0.07078576448332646,100,0,0,100,18,message.truth_revelation_prob,0.0,random
0.1996,0.07496559210731281,0.16832593628283232,0.12778564455150873,0.10909709377808849,0.12233645188408918,0.00882693796795398,0.0,0.00882693796795398,100,0,0,100,19,message.truth_revelation_prob,0.0,random
