network_type,sim_run,round,reach,forwarding_rate,mcr,false_reach_count,average_reputation
erdos_renyi,0,1,1.0,0.47,0.0,0,0.3172232421503017
erdos_renyi,0,2,0.49,0.08163265306122448,0.0,0,0.3422232421503017
erdos_renyi,0,3,0.92,0.20652173913043478,0.20652173913043478,92,0.3422232421503017
erdos_renyi,0,4,0.88,0.1590909090909091,0.0,0,0.3422232421503017
erdos_renyi,0,5,1.0,0.4,0.0,0,0.5472232421503017
erdos_renyi,0,6,0.99,0.40404040404040403,0.0,0,0.7322232421503019
erdos_renyi,0,7,0.95,0.25263157894736843,0.0,0,0.8522232421503019
erdos_renyi,0,8,1.0,0.55,0.0,0,1.1172232421503019
erdos_renyi,0,9,0.63,0.1111111111111111,0.0,0,1.1522232421503018
erdos_renyi,0,10,0.71,0.1267605633802817,0.0,0,1.1522232421503018
erdos_renyi,0,11,1.0,0.51,0.51,100,1.1522232421503018
erdos_renyi,0,12,1.0,0.66,0.0,0,1.1522232421503018
erdos_renyi,0,13,0.99,0.3939393939393939,0.0,0,1.1522232421503018
erdos_renyi,0,14,0.98,0.3469387755102041,0.3469387755102041,98,0.9727546833811038
erdos_renyi,0,15,0.87,0.1724137931034483,0.0,0,0.9727546833811038
erdos_renyi,0,16,0.87,0.16091954022988506,0.0,0,1.0377546833811038
erdos_renyi,0,17,0.93,0.23655913978494625,0.23655913978494625,93,1.0377546833811038
erdos_renyi,0,18,1.0,0.54,0.0,0,1.302754683381104
erdos_renyi,0,19,0.63,0.1111111111111111,0.1111111111111111,63,1.302754683381104
erdos_renyi,0,20,0.94,0.23404255319148937,0.23404255319148937,94,1.302754683381104
erdos_renyi,0,21,0.63,0.1111111111111111,0.1111111111111111,63,1.274543335121987
erdos_renyi,0,22,1.0,0.64,0.64,100,1.274543335121987
erdos_renyi,0,23,1.0,0.51,0.51,100,0.9906911135318995
erdos_renyi,0,24,0.99,0.3838383838383838,0.0,0,1.1856911135318995
erdos_renyi,0,25,0.98,0.29591836734693877,0.0,0,1.3206911135318995
erdos_renyi,0,26,0.96,0.2708333333333333,0.0,0,1.3206911135318995
erdos_renyi,0,27,0.63,0.1111111111111111,0.1111111111111111,63,1.3206911135318995
erdos_renyi,0,28,0.95,0.25263157894736843,0.25263157894736843,95,1.3206911135318995
erdos_renyi,0,29,0.63,0.1111111111111111,0.0,0,1.3556911135318996
erdos_renyi,0,30,0.63,0.1111111111111111,0.0,0,1.3556911135318996
erdos_renyi,0,31,0.94,0.23404255319148937,0.23404255319148937,94,1.256077789822585
erdos_renyi,0,32,0.63,0.1111111111111111,0.0,0,1.256077789822585
erdos_renyi,0,33,1.0,0.49,0.49,100,1.256077789822585
erdos_renyi,0,34,1.0,0.66,0.0,0,1.576077789822585
erdos_renyi,0,35,0.99,0.37373737373737376,0.37373737373737376,99,1.576077789822585
erdos_renyi,0,36,1.0,0.6,0.6,100,1.1907640746636934
erdos_renyi,0,37,1.0,0.57,0.57,100,0.9057281532611232
erdos_renyi,0,38,1.0,0.55,0.55,100,0.9057281532611232
erdos_renyi,0,39,0.89,0.20224719101123595,0.20224719101123595,89,0.8249168390904079
erdos_renyi,0,40,0.76,0.13157894736842105,0.13157894736842105,76,0.7922310130664251
erdos_renyi,0,41,1.0,0.57,0.0,0,1.067231013066425
erdos_renyi,0,42,0.99,0.32323232323232326,0.0,0,1.217231013066425
erdos_renyi,0,43,1.0,0.57,0.57,100,0.9013132562724218
erdos_renyi,0,44,0.99,0.3434343434343434,0.0,0,1.0613132562724217
erdos_renyi,0,45,0.92,0.20652173913043478,0.0,0,1.1513132562724218
erdos_renyi,0,46,1.0,0.46,0.46,100,0.9176573149189258
erdos_renyi,0,47,0.87,0.1724137931034483,0.1724137931034483,87,0.8636176292231734
erdos_renyi,0,48,0.63,0.1111111111111111,0.1111111111111111,63,0.8636176292231734
erdos_renyi,0,49,0.63,0.1111111111111111,0.1111111111111111,63,0.843025753222327
erdos_renyi,0,50,0.85,0.1411764705882353,0.0,0,0.898025753222327
erdos_renyi,0,51,1.0,0.54,0.0,0,0.898025753222327
erdos_renyi,0,52,1.0,0.56,0.0,0,1.168025753222327
erdos_renyi,0,53,0.88,0.18181818181818182,0.0,0,1.168025753222327
erdos_renyi,0,54,0.99,0.32323232323232326,0.0,0,1.3180257532223267
erdos_renyi,0,55,0.88,0.19318181818181818,0.19318181818181818,88,1.2433778464839904
erdos_renyi,0,56,1.0,0.63,0.63,100,0.9386211080862032
erdos_renyi,0,57,0.76,0.13157894736842105,0.0,0,0.9386211080862032
erdos_renyi,0,58,0.93,0.23655913978494625,0.0,0,0.9386211080862032
erdos_renyi,0,59,1.0,0.42,0.0,0,1.1286211080862032
erdos_renyi,0,60,0.63,0.1111111111111111,0.0,0,1.1636211080862033
erdos_renyi,0,61,0.76,0.13157894736842105,0.0,0,1.2086211080862033
erdos_renyi,0,62,1.0,0.41,0.0,0,1.2086211080862033
erdos_renyi,0,63,0.99,0.3333333333333333,0.0,0,1.2086211080862033
erdos_renyi,0,64,0.99,0.3838383838383838,0.3838383838383838,99,1.2086211080862033
erdos_renyi,0,65,0.77,0.14285714285714285,0.0,0,1.2086211080862033
erdos_renyi,0,66,0.99,0.37373737373737376,0.0,0,1.3986211080862032
erdos_renyi,0,67,1.0,0.58,0.0,0,1.6786211080862032
erdos_renyi,0,68,0.93,0.23655913978494625,0.0,0,1.7836211080862032
erdos_renyi,0,69,0.74,0.13513513513513514,0.0,0,1.8286211080862032
erdos_renyi,0,70,1.0,0.57,0.57,100,1.4950560207814352
erdos_renyi,0,71,0.76,0.13157894736842105,0.13157894736842105,76,1.4950560207814352
erdos_renyi,0,72,1.0,0.55,0.55,100,1.259359453914362
erdos_renyi,0,73,1.0,0.52,0.0,0,1.509359453914362
erdos_renyi,0,74,0.74,0.13513513513513514,0.13513513513513514,74,1.4604609454623363
erdos_renyi,0,75,1.0,0.44,0.0,0,1.4604609454623363
erdos_renyi,0,76,0.99,0.41414141414141414,0.0,0,1.4604609454623363
erdos_renyi,0,77,0.63,0.1111111111111111,0.0,0,1.4604609454623363
erdos_renyi,0,78,0.77,0.14285714285714285,0.0,0,1.5104609454623363
erdos_renyi,0,79,0.63,0.1111111111111111,0.0,0,1.5104609454623363
erdos_renyi,0,80,1.0,0.5,0.0,0,1.7454609454623364
erdos_renyi,0,81,0.96,0.2708333333333333,0.0,0,1.8704609454623364
erdos_renyi,0,82,0.9,0.18888888888888888,0.0,0,1.8704609454623364
erdos_renyi,0,83,0.97,0.28865979381443296,0.0,0,1.8704609454623364
erdos_renyi,0,84,1.0,0.63,0.63,100,1.5481602202541769
erdos_renyi,0,85,0.97,0.30927835051546393,0.30927835051546393,97,1.5481602202541769
erdos_renyi,0,86,0.75,0.13333333333333333,0.13333333333333333,75,1.4996710677862444
erdos_renyi,0,87,0.74,0.12162162162162163,0.0,0,1.4996710677862444
erdos_renyi,0,88,0.99,0.3939393939393939,0.3939393939393939,99,1.3014333928539599
erdos_renyi,0,89,0.63,0.1111111111111111,0.0,0,1.3364333928539593
erdos_renyi,0,90,0.99,0.4444444444444444,0.4444444444444444,99,1.130339674942856
erdos_renyi,0,91,0.63,0.1111111111111111,0.0,0,1.130339674942856
erdos_renyi,0,92,0.95,0.25263157894736843,0.25263157894736843,95,1.130339674942856
erdos_renyi,0,93,0.94,0.24468085106382978,0.0,0,1.130339674942856
erdos_renyi,0,94,0.45,0.08888888888888889,0.0,0,1.130339674942856
erdos_renyi,0,95,0.96,0.3020833333333333,0.0,0,1.265339674942856
erdos_renyi,0,96,1.0,0.52,0.52,100,1.1071519201848905
erdos_renyi,0,97,0.94,0.24468085106382978,0.0,0,1.2171519201848904
erdos_renyi,0,98,0.74,0.13513513513513514,0.0,0,1.2171519201848904
erdos_renyi,0,99,1.0,0.53,0.53,100,1.0629307621707504
erdos_renyi,0,100,0.9,0.2,0.2,90,1.0629307621707504
erdos_renyi,0,101,0.99,0.5555555555555556,0.0,0,1.0629307621707504
erdos_renyi,0,102,0.93,0.21505376344086022,0.21505376344086022,93,1.0629307621707504
erdos_renyi,0,103,0.98,0.30612244897959184,0.0,0,1.2129307621707506
erdos_renyi,0,104,0.93,0.21505376344086022,0.0,0,1.3079307621707505
erdos_renyi,0,105,0.99,0.32323232323232326,0.32323232323232326,99,1.3079307621707505
erdos_renyi,0,106,0.92,0.1956521739130435,0.0,0,1.3929307621707505
erdos_renyi,0,107,1.0,0.59,0.0,0,1.6779307621707504
erdos_renyi,0,108,0.93,0.22580645161290322,0.0,0,1.6779307621707504
erdos_renyi,0,109,0.71,0.1267605633802817,0.0,0,1.7179307621707505
erdos_renyi,0,110,0.98,0.29591836734693877,0.0,0,1.8529307621707505
